equiv_group_id,course_code,relation_type,scope_program_id,notes
LEVEL_FINA4040_FINA5040,FINA 5040,equivalent,,"same title, different level"
LEVEL_FINA4075_FINA5075,FINA 4075,equivalent,,"same title, different level"
LEVEL_FINA4075_FINA5075,FINA 5075,equivalent,,"same title, different level"
LEVEL_FINA4081_FINA5081,FINA 4081,equivalent,,"same title, different level"
LEVEL_FINA4081_FINA5081,FINA 5081,equivalent,,"same title, different level"
LEVEL_FINA4081_FINA5081,FINA 6081,equivalent,,"same title, different level"
LEVEL_FINA4084_FINA5084,FINA 4084,equivalent,,"same title, different level"
LEVEL_FINA4084_FINA5084,FINA 5084,equivalent,,"same title, different level"
LEVEL_FINA4085_FINA5085,FINA 4085,equivalent,,"same title, different level"
LEVEL_FINA4085_FINA5085,FINA 5085,equivalent,,"same title, different level"
LEVEL_FINA4931_FINA5931,FINA 4931,equivalent,,"same title, different level"
LEVEL_FINA4931_FINA5931,FINA 5931,equivalent,,"same title, different level"
LEVEL_FINA4931_FINA5931,FINA 6931,equivalent,,"same title, different level"
LEVEL_FINA4953_FINA6953,FINA 4953,equivalent,,"same title, different level"
LEVEL_FINA4953_FINA6953,FINA 6953,equivalent,,"same title, different level"
LEVEL_FINAI4931_FINAI5931,FINAI 4931,equivalent,,"same title, different level"
LEVEL_FINAI4931_FINAI5931,FINAI 5931,equivalent,,"same title, different level"
LEVEL_FREN4110_FREN5110,FREN 4110,equivalent,,"same title, different level"
LEVEL_FREN4110_FREN5110,FREN 5110,equivalent,,"same title, different level"
LEVEL_HEAL4901_HEAL5901,HEAL 4901,equivalent,,"same title, different level"
LEVEL_HEAL4901_HEAL5901,HEAL 5901,equivalent,,"same title, different level"
LEVEL_HIST4120_HIST5120,HIST 4120,equivalent,,"same title, different level"
LEVEL_HIST4120_HIST5120,HIST 5120,equivalent,,"same title, different level"
LEVEL_HIST4125_HIST5125,HIST 4125,equivalent,,"same title, different level"
LEVEL_HIST4125_HIST5125,HIST 5125,equivalent,,"same title, different level"
LEVEL_HIST4127_HIST5127,HIST 4127,equivalent,,"same title, different level"
LEVEL_HIST4127_HIST5127,HIST 5127,equivalent,,"same title, different level"
LEVEL_HIST4135_HIST5135,HIST 4135,equivalent,,"same title, different level"
LEVEL_HIST4135_HIST5135,HIST 5135,equivalent,,"same title, different level"
LEVEL_HIST4140_HIST5140,HIST 4140,equivalent,,"same title, different level"
LEVEL_HIST4140_HIST5140,HIST 5140,equivalent,,"same title, different level"
LEVEL_HIST4145_HIST5145,HIST 4145,equivalent,,"same title, different level"
LEVEL_HIST4145_HIST5145,HIST 5145,equivalent,,"same title, different level"
LEVEL_HIST4150_HIST5150,HIST 4150,equivalent,,"same title, different level"
LEVEL_HIST4150_HIST5150,HIST 5150,equivalent,,"same title, different level"
LEVEL_HIST4155_HIST5155,HIST 4155,equivalent,,"same title, different level"
LEVEL_HIST4155_HIST5155,HIST 5155,equivalent,,"same title, different level"
LEVEL_HIST4156_HIST5156,HIST 4156,equivalent,,"same title, different level"
LEVEL_HIST4156_HIST5156,HIST 5156,equivalent,,"same title, different level"
LEVEL_HIST4210_HIST5210,HIST 4210,equivalent,,"same title, different level"
LEVEL_HIST4210_HIST5210,HIST 5210,equivalent,,"same title, different level"
LEVEL_HIST4212_HIST5212,HIST 4212,equivalent,,"same title, different level"
LEVEL_HIST4212_HIST5212,HIST 5212,equivalent,,"same title, different level"
LEVEL_HIST4245_HIST5245,HIST 4245,equivalent,,"same title, different level"
LEVEL_HIST4245_HIST5245,HIST 5245,equivalent,,"same title, different level"
LEVEL_HIST4251_HIST5251,HIST 4251,equivalent,,"same title, different level"
LEVEL_HIST4251_HIST5251,HIST 5251,equivalent,,"same title, different level"
LEVEL_HIST4252_HIST5252,HIST 4252,equivalent,,"same title, different level"
LEVEL_HIST4252_HIST5252,HIST 5252,equivalent,,"same title, different level"
LEVEL_HIST4255_HIST5255,HIST 4255,equivalent,,"same title, different level"
LEVEL_HIST4255_HIST5255,HIST 5255,equivalent,,"same title, different level"
