parent_bucket_id,child_bucket_id,course_code,notes
MCC_ESSV2,MCC_ESSV2,ENGL 3780,
MCC_ESSV2,MCC_ESSV2,ENGL 3820,
MCC_ESSV2,MCC_ESSV2,ENGL 4221,
MCC_ESSV2,MCC_ESSV2,ENGL 4230,
MCC_ESSV2,MCC_ESSV2,ENGL 4631,
MCC_ESSV2,MCC_ESSV2,ENGL 4739,
MCC_ESSV2,MCC_ESSV2,ENGL 4825,
MCC_ESSV2,MCC_ESSV2,ENGL 4826,
MCC_ESSV2,MCC_ESSV2,ENGL 4988,
MCC_ESSV2,MCC_ESSV2,EXPH 4986,
MCC_ESSV2,MCC_ESSV2,FREN 3000,
MCC_ESSV2,MCC_ESSV2,GEEN 2960,
MCC_ESSV2,MCC_ESSV2,GEEN 4850,
MCC_ESSV2,MCC_ESSV2,GRMN 3540,
MCC_ESSV2,MCC_ESSV2,GRMN 3550,
MCC_ESSV2,MCC_ESSV2,GRMN 3552,
MCC_ESSV2,MCC_ESSV2,HESC 3929,
MCC_ESSV2,MCC_ESSV2,HIST 4120,
MCC_ESSV2,MCC_ESSV2,HIST 4125,
MCC_ESSV2,MCC_ESSV2,HIST 4135,
MCC_ESSV2,MCC_ESSV2,HIST 4140,
MCC_ESSV2,MCC_ESSV2,HIST 4155,
MCC_ESSV2,MCC_ESSV2,HIST 4747,
MCC_ESSV2,MCC_ESSV2,INES 4987,
MCC_ESSV2,MCC_ESSV2,INGS 4997,
MCC_ESSV2,MCC_ESSV2,INPS 3250,
MCC_ESSV2,MCC_ESSV2,INPS 4997,
MCC_ESSV2,MCC_ESSV2,JOUR 3986,
MCC_ESSV2,MCC_ESSV2,JOUR 4986,
MCC_ESSV2,MCC_ESSV2,LLAC 1010,
MCC_ESSV2,MCC_ESSV2,LLAC 3220,
MCC_ESSV2,MCC_ESSV2,LLAC 3250,
MCC_ESSV2,MCC_ESSV2,MANA 3035,
MCC_ESSV2,MCC_ESSV2,MARQ 3929,
MCC_ESSV2,MCC_ESSV2,MARQ 3961,
MCC_ESSV2,MCC_ESSV2,MLSC 4180,
MCC_ESSV2,MCC_ESSV2,NURS 3956H,
MCC_ESSV2,MCC_ESSV2,NURS 3965,
MCC_ESSV2,MCC_ESSV2,PHIL 3502,
MCC_ESSV2,MCC_ESSV2,PHIL 3507,
MCC_ESSV2,MCC_ESSV2,PHTH 4512,
MCC_ESSV2,MCC_ESSV2,POSC 4986,
MCC_ESSV2,MCC_ESSV2,PSYC 3201,
MCC_ESSV2,MCC_ESSV2,PSYC 4420,
MCC_ESSV2,MCC_ESSV2,PURE 3986,
MCC_ESSV2,MCC_ESSV2,SOCI 3700,
MCC_ESSV2,MCC_ESSV2,SOCI 3986,
MCC_ESSV2,MCC_ESSV2,SOCI 4986,
MCC_ESSV2,MCC_ESSV2,SOWJ 3170,
MCC_ESSV2,MCC_ESSV2,SOWJ 3400,
MCC_ESSV2,MCC_ESSV2,SOWJ 3986,
MCC_ESSV2,MCC_ESSV2,SOWJ 4700,
MCC_ESSV2,MCC_ESSV2,SOWJ 4986,
MCC_ESSV2,MCC_ESSV2,SPAN 3001,
MCC_ESSV2,MCC_ESSV2,SPAN 4150,
MCC_ESSV2,MCC_ESSV2,THAR 3620,
MCC_ESSV2,MCC_ESSV2,THAR 4986,
MCC_ESSV2,MCC_ESSV2,THEO 2500,
MCC_ESSV2,MCC_ESSV2,THEO 3250,
MCC_ESSV2,MCC_ESSV2,THEO 3350,
MCC_ESSV2,MCC_ESSV2,THEO 3355,
MCC_ESSV2,MCC_ESSV2,THEO 3600,
MCC_ESSV2,MCC_ESSV2,THEO 4270,
MCC_ESSV2,MCC_ESSV2,THEO 4400,
MCC_ESSV2,MCC_ESSV2,THEO 4520,
MCC_WRIT,MCC_WRIT,ACCO 4000,
MCC_WRIT,MCC_WRIT,ADPR 2200,
MCC_WRIT,MCC_WRIT,ANTH 2101,
MCC_WRIT,MCC_WRIT,ARBC 3200,
MCC_WRIT,MCC_WRIT,ARBC 3210,
MCC_WRIT,MCC_WRIT,ARBC 3220,
MCC_WRIT,MCC_WRIT,BIOL 4102,
MCC_WRIT,MCC_WRIT,BIOL 4202,
MCC_WRIT,MCC_WRIT,BIOL 4302,
MCC_WRIT,MCC_WRIT,BIOL 4402,
MCC_WRIT,MCC_WRIT,BIOL 4403,
MCC_WRIT,MCC_WRIT,BIOL 4502,
MCC_WRIT,MCC_WRIT,BIOL 4702,
MCC_WRIT,MCC_WRIT,BIOL 4802,
MCC_WRIT,MCC_WRIT,BISC 4325,
MCC_WRIT,MCC_WRIT,BUAD 4010,
MCC_WRIT,MCC_WRIT,BULA 3001,
MCC_WRIT,MCC_WRIT,CCOM 3250,
MCC_WRIT,MCC_WRIT,CMST 3000,
MCC_WRIT,MCC_WRIT,CMST 4997,
MCC_WRIT,MCC_WRIT,CRLS 3050,
MCC_WRIT,MCC_WRIT,EDUC 4000,
MCC_WRIT,MCC_WRIT,EDUC 4540,
MCC_WRIT,MCC_WRIT,ELEN 3025,
MCC_WRIT,MCC_WRIT,ENGL 2001,
MCC_WRIT,MCC_WRIT,ENGL 2011,
MCC_WRIT,MCC_WRIT,ENGL 2012,
MCC_WRIT,MCC_WRIT,ENGL 3000,
MCC_WRIT,MCC_WRIT,ENGL 3210,
MCC_WRIT,MCC_WRIT,ENGL 3211,
MCC_WRIT,MCC_WRIT,ENGL 3220,
MCC_WRIT,MCC_WRIT,ENGL 3221,
MCC_WRIT,MCC_WRIT,ENGL 3222,
MCC_WRIT,MCC_WRIT,ENGL 3223,
MCC_WRIT,MCC_WRIT,ENGL 3224,
MCC_WRIT,MCC_WRIT,ENGL 3240,
MCC_WRIT,MCC_WRIT,ENGL 3241,
MCC_WRIT,MCC_WRIT,ENGL 3242,
MCC_WRIT,MCC_WRIT,ENGL 3250,
MCC_WRIT,MCC_WRIT,ENGL 3261,
MCC_WRIT,MCC_WRIT,ENGL 3301,
