course_code,soft_prereq,catalog_prereq_raw,soft_prereq_major_restriction,soft_prereq_instructor_consent,soft_prereq_admitted_program,soft_prereq_college_restriction,soft_prereq_program_progress_requirement,soft_prereq_standing_requirement,soft_prereq_placement_required,soft_prereq_minimum_grade,soft_prereq_minimum_gpa,soft_prereq_may_be_concurrent,soft_prereq_other_requirements,soft_prereq_complex_hard_prereq,notes
ANTH 4253,,ANTH 1001.,,,,,,,,,,,,,
ANTH 4255,,,,,,,,,,,,,,,
ANTH 4316,,,,,,,,,,,,,,,
ANTH 4320,,"ANTH 1001, CRLS 1001, SOCI 1001 or SOWJ 1001.",,,,,,,,,,,,,
ANTH 4420,,,,,,,,,,,,,,,
ANTH 4931,,,,,,,,,,,,,,,
ANTH 4956,instructor_consent,Cons. of instr. Consent required.,,Cons. of instr; Consent required,,,,,,,,,,,Cons. of instr. Consent required.
ANTH 4964,other_requirements,ANTH 2401 and SOCI 2060 or equiv.,,,,,,,,,,,ANTH 2401 and SOCI 2060 or equiv,,
ANTH 4986,instructor_consent;standing_requirement,"Sr. stndg., ANTH 3986, and cons. of internship coordinator.",,"Sr. stndg., ANTH 3986, and cons. of internship coordinator",,,,"Sr. stndg., ANTH 3986, and cons. of internship coordinator",,,,,,,"Sr. stndg., ANTH 3986, and cons. of internship coordinator."
ANTH 4995,instructor_consent,Cons. of dept. ch. Consent required.,,Cons. of dept. ch; Consent required,,,,,,,,,,,Cons. of dept. ch. Consent required.
ANTH 4997,standing_requirement,Sr. stndg and twelve credit hours of course work in Anthropology.,,,,,,Sr. stndg and twelve credit hours of course work in Anthropology,,,,,,,Sr. stndg and twelve credit hours of course work in Anthropology.
ANTH 4999,instructor_consent;standing_requirement,Sr. stndg. and cons. of dept. ch. Consent required.,,Sr. stndg. and cons. of dept. ch; Consent required,,,,Sr. stndg. and cons. of dept. ch,,,,,,,Sr. stndg. and cons. of dept. ch. Consent required.
ANTH 5144,,,,,,,,,,,,,,,
ANTH 5245,,,,,,,,,,,,,,,
ANTH 5247,,,,,,,,,,,,,,,
ANTH 5251,,,,,,,,,,,,,,,
ANTH 5252,,,,,,,,,,,,,,,
ANTH 5253,,,,,,,,,,,,,,,
ANTH 5255,,,,,,,,,,,,,,,
ANTH 5316,,,,,,,,,,,,,,,
ANTH 5320,,,,,,,,,,,,,,,
ANTH 5420,,,,,,,,,,,,,,,
ANTH 5931,,,,,,,,,,,,,,,
ANTH 5964,,,,,,,,,,,,,,,
ARBC 1001,,,,,,,,,,,,,,,
